	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
HTATSF1	90	61	-0.746	0.4176	138	69	-5.698	0.04683	96	44	-7.81	0.00723	101	34	-3.284	0.09012	174	84	0.333	0.58595	96	49	2.432	0.78594	78	57	0.614	0.57612
HTRA1	90	35	5.272	0.86161	138	68	5.688	0.95114	96	44	2.451	0.78787	101	32	-1.668	0.2472	174	89	-0.321	0.41442	96	43	0.148	0.51787	78	60	0.576	0.5732
HYOU1	90	49	-9.119	0.01404	138	74	-3.211	0.16363	96	52	-4.117	0.07449	101	46	-1.752	0.19934	174	97	-1.558	0.14111	96	39	-9.352	0.00463	78	48	-4.911	0.07606
IARS2	90	39	-2.571	0.28576	138	38	-5.231	0.12486	96	34	-9.195	0.00682	101	24	2.622	0.81944	174	59	-3.941	0.02222	96	33	1.119	0.61851	78	26	-9.529	0.02601
ICAM1	90	34	-5.673	0.12627	138	61	-4.153	0.12319	96	55	1.971	0.76133	101	72	-3.775	0.01247	174	112	-1.466	0.14054	96	26	1.037	0.5976	78	33	-7.446	0.03886
ICAM3	90	51	-5.459	0.08781	138	88	-19.029	1e-05	96	60	-12.222	1e-05	101	67	-8.108	1e-05	174	97	-10.031	1e-05	96	57	-8.002	0.00264	78	39	-9.773	0.00579
ICMT	90	68	-23.767	1e-05	138	91	-21.586	1e-05	96	55	-11.181	7e-05	101	71	-10.399	1e-05	174	114	-10.922	1e-05	96	64	-15.947	1e-05	78	44	-23.646	1e-05
ID2	90	54	-9.53	0.00808	138	100	-4.893	0.04172	96	53	-1.06	0.35172	101	67	0.771	0.67344	174	72	-0.845	0.30955	96	61	-0.277	0.45736	78	42	-12.598	0.0004
IDE	90	55	-13.488	0.00031	138	101	-5.216	0.03213	96	61	-6.966	0.00433	101	64	-6.381	0.00022	174	104	-10.752	1e-05	96	57	-7.77	0.00354	78	35	-18.18	3e-05
IER3	90	45	-28.126	1e-05	138	56	-13.346	0.00027	96	54	-12.099	4e-05	101	48	-2.935	0.0762	174	75	-9.712	1e-05	96	44	-7.7	0.01032	78	26	0.703	0.55946
IFNAR1	90	39	3.027	0.74638	138	58	-0.245	0.47259	96	41	0.739	0.59272	101	34	-1.763	0.23018	174	79	-0.402	0.39992	96	45	0.425	0.55172	78	52	1.995	0.72757
IFRD2	90	34	-15.598	0.00154	138	83	-2.0	0.25771	96	66	-11.078	1e-05	101	52	-1.784	0.18263	174	77	-0.592	0.3584	96	44	-15.696	1e-05	78	28	2.224	0.69141
IGF1R	90	35	5.074	0.85246	138	63	3.274	0.82271	96	52	-4.756	0.04797	101	54	-4.731	0.00801	174	53	-2.082	0.14368	96	40	3.141	0.82344	78	39	-4.13	0.13914
IGF2BP2	90	47	-13.09	0.00141	138	80	-10.3	0.00067	96	54	-6.609	0.00967	101	70	-1.603	0.16883	174	108	0.622	0.675	96	42	-1.076	0.37062	78	26	-6.543	0.08492
IGF2R	90	31	-0.304	0.47521	138	34	-0.631	0.44826	96	42	3.274	0.84984	101	42	-4.193	0.03002	174	75	-0.035	0.48991	96	27	1.644	0.65575	78	38	2.728	0.76062
IGFBP3	90	50	-19.743	1e-05	138	77	-10.756	0.00053	96	43	-0.413	0.447	101	51	0.928	0.68391	174	69	0.566	0.62913	96	53	-3.464	0.12058	78	43	-7.744	0.01781
IGHMBP2	90	70	-17.247	1e-05	138	100	-10.42	0.00013	96	67	-3.838	0.0632	101	54	1.864	0.83568	174	110	-0.362	0.39517	96	62	-8.242	0.00116	78	52	-9.493	0.00231
IKBKAP	90	42	-6.013	0.08883	138	65	-0.492	0.44275	96	56	-11.18	3e-05	101	43	-6.306	0.00279	174	108	-5.561	6e-05	96	53	-2.436	0.20369	78	35	-12.7	0.00145
IKBKB	90	42	-2.095	0.31846	138	51	-2.992	0.22448	96	23	-5.452	0.10425	101	30	-2.696	0.14744	174	76	-0.545	0.36826	96	38	-7.261	0.02072	78	45	-6.735	0.02935
IKBKE	90	53	-6.313	0.05467	138	64	1.122	0.62813	96	78	-10.117	1e-05	101	81	-4.05	0.00469	174	106	-2.559	0.03534	96	53	-2.396	0.20728	78	41	-4.632	0.1065
IKZF1	90	63	-3.6	0.16072	138	73	3.303	0.84227	96	62	0.973	0.64734	101	70	4.063	0.99167	174	123	0.729	0.71431	96	58	-1.971	0.24103	78	49	0.8	0.59346
IL13RA1	90	41	2.905	0.74009	138	72	-8.109	0.00746	96	47	3.553	0.88327	101	31	-1.477	0.2759	174	79	-1.657	0.15274	96	50	-4.255	0.08063	78	50	2.923	0.80694
IL1B	90	43	2.384	0.70869	138	69	1.58	0.68172	96	38	-1.455	0.33009	101	32	-0.169	0.47131	174	93	0.109	0.5293	96	45	0.444	0.55407	78	55	-5.121	0.05599
IL4R	90	48	3.365	0.79523	138	47	-0.347	0.46673	96	55	-4.082	0.06933	101	28	-1.544	0.27433	174	104	0.935	0.74753	96	62	-1.2	0.32939	78	55	3.806	0.88044
ILK	90	44	2.76	0.74077	138	52	-2.366	0.26992	96	33	-0.662	0.42349	101	36	-2.251	0.16971	174	77	-2.559	0.06071	96	42	-1.692	0.3021	78	25	2.031	0.66982
INPP1	90	23	-0.808	0.44206	138	51	-16.817	6e-05	96	54	-10.396	0.0002	101	60	0.48	0.60364	174	76	-2.57	0.06107	96	67	-6.335	0.00758	78	38	-20.221	1e-05
INPP4B	90	46	-14.601	0.00043	138	85	-0.533	0.43075	96	43	-8.914	0.00305	101	78	-5.079	0.00087	174	77	-0.874	0.29476	96	58	-3.317	0.1183	78	38	-3.921	0.15404
INSIG1	90	56	-3.684	0.16855	138	52	-1.761	0.32377	96	40	1.032	0.62615	101	44	-5.504	0.00677	174	77	-1.698	0.14925	96	36	-3.111	0.19255	78	36	-13.611	0.00072
INTS3	90	55	0.631	0.5634	138	78	0.652	0.58363	96	55	-0.883	0.37264	101	56	-3.64	0.02817	174	114	-0.195	0.44431	96	42	-2.404	0.23249	78	35	-8.264	0.02315
IPO13	90	45	1.613	0.64648	138	60	-0.593	0.43265	96	47	-0.387	0.44917	101	43	-0.164	0.46579	174	80	-2.161	0.09033	96	44	-1.67	0.304	78	54	-2.459	0.224
IQGAP1	90	45	0.805	0.57427	138	57	3.447	0.82374	96	42	-3.56	0.12988	101	31	-5.122	0.02772	174	97	-0.013	0.49633	96	34	-1.31	0.35843	78	43	-3.326	0.17952
ISOC1	90	41	-0.215	0.47773	138	95	0.159	0.52389	96	47	0.02	0.50388	101	26	2.556	0.8244	174	79	1.316	0.79244	96	46	-1.058	0.36751	78	51	-11.847	0.0002
ITFG1	90	33	3.867	0.78219	138	53	1.384	0.64128	96	15	0.488	0.54073	101	31	1.878	0.77612	174	80	-4.796	0.00215	96	51	1.639	0.70958	78	34	3.799	0.82466
ITGAE	90	37	-10.031	0.01932	138	54	-5.804	0.06724	96	53	-5.585	0.02473	101	63	-9.828	1e-05	174	118	-4.281	0.00075	96	41	-3.876	0.12304	78	36	-5.212	0.09762
ITGB1BP1	90	45	-3.996	0.17314	138	57	-3.659	0.16339	96	51	-9.79	0.00045	101	27	3.852	0.9183	174	90	-8.971	1e-05	96	42	3.832	0.87655	78	31	0.664	0.56284
ITGB5	90	57	-17.027	3e-05	138	60	-12.717	0.0003	96	42	-5.386	0.04608	101	55	-1.79	0.17237	174	55	-0.277	0.43882	96	42	-10.71	0.00095	78	22	-2.245	0.32682
JMJD6	90	49	-15.299	9e-05	138	54	-0.501	0.44774	96	34	3.132	0.81608	101	31	2.032	0.7932	174	90	-3.815	0.00738	96	54	-3.441	0.11849	78	38	-3.165	0.20425
JUN	90	36	-4.028	0.20015	138	53	3.11	0.791	96	66	-3.619	0.07358	101	34	-5.05	0.02365	174	86	-1.015	0.25635	96	67	-4.578	0.04072	78	61	-12.119	6e-05
KAT6A	90	55	0.038	0.50035	138	69	-6.749	0.02402	96	51	-0.403	0.44206	101	50	-1.376	0.24441	174	100	-4.662	0.00094	96	56	-4.493	0.059	78	33	-2.79	0.25148
KAT6B	90	65	3.474	0.83867	138	78	2.436	0.78058	96	55	-2.862	0.14738	101	37	-1.222	0.29593	174	68	-1.134	0.25567	96	55	-3.811	0.09383	78	30	-4.782	0.13534
KCNK1	90	60	-10.223	0.00297	138	87	-2.243	0.22835	96	36	-3.246	0.16837	101	66	-5.602	0.00084	174	79	-2.799	0.04272	96	70	0.238	0.53909	78	30	-9.727	0.01543
KCTD5	90	64	-18.186	1e-05	138	99	-17.487	1e-05	96	60	-13.595	1e-05	101	79	-5.108	0.00074	174	103	-11.236	1e-05	96	67	-11.539	2e-05	78	43	-20.075	1e-05
KDELR2	90	55	-23.679	1e-05	138	86	-8.31	0.00337	96	50	-14.211	2e-05	101	68	-11.215	1e-05	174	104	-7.548	1e-05	96	71	-10.365	4e-05	78	39	-13.744	0.00027
KDM3A	90	43	-6.503	0.07008	138	51	-0.059	0.49558	96	25	0.702	0.57218	101	38	-1.559	0.24451	174	57	-0.258	0.44336	96	42	3.156	0.82982	78	17	5.9	0.84517
KDM5A	90	46	-0.787	0.42647	138	56	3.691	0.83872	96	26	-1.607	0.33973	101	52	-1.315	0.253	174	92	-0.2	0.4446	96	44	2.198	0.75178	78	30	-9.587	0.01661
KDM5B	90	43	-3.834	0.19014	138	60	3.832	0.85341	96	40	-0.997	0.37929	101	37	-3.169	0.08877	174	62	-1.022	0.2878	96	37	-3.432	0.16482	78	25	0.417	0.53816
KEAP1	90	56	-9.366	0.0077	138	79	-10.588	0.0005	96	29	-2.95	0.2176	101	57	-1.45	0.21513	174	78	-4.973	0.00179	96	45	-0.916	0.3852	78	32	-9.599	0.01341
KIAA0100	90	53	-9.833	0.00701	138	75	0.14	0.51832	96	57	-10.169	0.00014	101	67	-7.333	2e-05	174	85	-7.902	1e-05	96	40	-7.992	0.01111	78	39	-18.464	1e-05
KIAA0196	90	34	6.19	0.89593	138	61	1.802	0.69136	96	36	-0.382	0.45174	101	24	-0.681	0.40177	174	73	-0.121	0.47045	96	34	-0.206	0.47545	78	35	-3.101	0.22049
KIAA0355	90	53	-16.618	3e-05	138	87	-4.437	0.06996	96	60	-2.608	0.16068	101	59	-1.377	0.22325	174	93	-1.364	0.17989	96	46	-0.934	0.38214	78	47	1.597	0.67917
KIAA0494	90	44	1.616	0.64822	138	32	-0.953	0.42253	96	20	0.151	0.51377	101	25	-0.189	0.47372	174	74	1.442	0.80591	96	29	-6.212	0.06286	78	32	4.378	0.85226
KIAA0528	90	32	-8.644	0.04791	138	46	3.297	0.78695	96	42	0.076	0.51143	101	35	1.558	0.74399	174	57	-1.789	0.17236	96	42	-2.794	0.19863	78	36	-2.764	0.24381
KIAA0753	90	38	0.805	0.56807	138	60	-0.833	0.40689	96	37	-3.731	0.13259	101	57	-0.67	0.35503	174	102	0.523	0.644	96	55	-2.215	0.22005	78	49	3.691	0.86168
KIAA0907	90	41	-3.293	0.22856	138	59	3.623	0.83948	96	35	1.622	0.68222	101	47	-2.548	0.10732	174	69	-1.077	0.26554	96	47	0.316	0.54098	78	30	-1.343	0.37566
KIAA1033	90	31	0.075	0.50492	138	44	0.58	0.55316	96	32	1.759	0.68631	101	41	0.487	0.58881	174	77	-2.267	0.08424	96	36	2.495	0.76038	78	22	-8.346	0.05588
KIAA1279	90	47	-15.612	0.0002	138	72	-3.559	0.14143	96	45	-1.839	0.27274	101	37	-6.087	0.00697	174	76	-11.476	1e-05	96	52	-2.481	0.20296	78	26	-5.8	0.1105
KIF14	90	60	-25.384	1e-05	138	104	-23.685	1e-05	96	54	3.772	0.91299	101	83	-6.515	2e-05	174	89	-5.905	0.00016	96	62	-12.146	1e-05	78	41	-15.429	5e-05
KIF20A	90	49	-26.981	1e-05	138	77	-23.374	1e-05	96	37	4.796	0.92187	101	82	-7.7	1e-05	174	83	-5.077	0.00098	96	74	-7.361	0.00177	78	30	-10.602	0.00968
KIF2C	90	50	-7.364	0.03522	138	62	-6.64	0.03319	96	58	-5.835	0.0155	101	50	-0.142	0.47171	174	79	-4.153	0.0062	96	40	-2.359	0.24135	78	24	-0.391	0.46725
KIF5C	90	66	-17.089	1e-05	138	88	-7.617	0.00567	96	60	1.586	0.72848	101	51	-0.321	0.43531	174	109	-3.137	0.0122	96	67	-9.178	0.00014	78	35	-8.283	0.02284
KIT	90	59	5.302	0.92099	138	61	4.055	0.8677	96	49	0.511	0.5705	101	51	-0.31	0.43767	174	103	1.364	0.8329	96	51	-0.266	0.46464	78	65	1.198	0.65808
KLHDC2	90	28	0.266	0.52112	138	40	0.492	0.54442	96	19	-0.175	0.48374	101	30	-4.231	0.05589	174	49	-1.014	0.30654	96	27	1.021	0.59793	78	32	1.019	0.59641
KLHL21	90	45	-12.205	0.00262	138	101	2.655	0.82939	96	46	-0.93	0.37734	101	65	-0.582	0.36771	174	119	-2.766	0.01819	96	61	3.643	0.9061	78	25	-8.134	0.04871
KLHL9	90	41	-7.882	0.0406	138	72	5.463	0.94958	96	55	-4.578	0.04871	101	54	-3.787	0.02522	174	107	-3.158	0.01201	96	54	-1.291	0.32863	78	44	0.274	0.53121
KTN1	90	40	2.527	0.71273	138	63	2.131	0.72736	96	24	-0.91	0.41168	101	52	-3.797	0.02863	174	84	0.588	0.64742	96	37	-2.902	0.20481	78	44	-3.781	0.1449
LAGE3	90	49	-5.473	0.09363	138	78	-6.894	0.01569	96	56	-15.447	1e-05	101	60	-8.994	1e-05	174	86	-10.316	1e-05	96	56	-1.178	0.34233	78	41	-13.317	0.00023
LAMA3	90	64	-2.029	0.28324	138	51	-7.882	0.02407	96	54	-4.811	0.04175	101	50	-4.278	0.01807	174	80	-4.816	0.00204	96	45	-7.269	0.01327	78	24	-1.298	0.39198
LAP3	90	33	1.876	0.64739	138	85	-4.475	0.071	96	35	-4.879	0.08113	101	21	5.151	0.94346	174	41	-3.911	0.04557	96	45	-1.421	0.3267	78	32	-4.103	0.16585
LBR	90	58	-22.75	1e-05	138	95	-21.3	1e-05	96	72	-11.151	1e-05	101	81	-10.228	1e-05	174	101	-10.229	1e-05	96	57	-21.811	1e-05	78	36	-29.6	1e-05
LGALS8	90	31	1.324	0.60227	138	53	6.495	0.95221	96	34	0.549	0.56591	101	28	-1.346	0.29942	174	87	0.127	0.53365	96	28	1.709	0.66587	78	44	0.718	0.58011
LGMN	90	64	-13.52	6e-05	138	59	-4.505	0.10844	96	41	-1.9	0.2755	101	36	-3.055	0.09991	174	105	-5.595	4e-05	96	42	4.68	0.92031	78	37	-12.949	0.0008
LIG1	90	58	-23.144	1e-05	138	74	-29.999	1e-05	96	60	-8.901	0.00045	101	65	-10.061	1e-05	174	109	-10.623	1e-05	96	64	-18.965	1e-05	78	34	-28.731	1e-05
LIPA	90	35	-2.16	0.32614	138	56	3.292	0.81166	96	66	-13.921	1e-05	101	53	-9.2	1e-05	174	71	0.804	0.68233	96	26	-0.452	0.45416	78	32	-7.338	0.04407
LOXL1	90	62	-4.121	0.1277	138	78	1.687	0.70496	96	50	-8.708	0.00179	101	53	-2.212	0.1262	174	126	-4.485	0.00026	96	63	-4.993	0.03216	78	23	-17.648	0.00069
LPAR2	90	21	-6.404	0.15498	138	58	4.581	0.89232	96	24	3.324	0.79083	101	53	-1.295	0.25078	174	69	-1.16	0.24993	96	27	2.351	0.71721	78	30	0.28	0.52376
LPGAT1	90	40	-11.363	0.00694	138	56	1.437	0.6513	96	49	-14.283	1e-05	101	48	-5.688	0.00409	174	77	-3.382	0.02223	96	32	-10.467	0.00478	78	33	-12.178	0.00268
LRP10	90	33	0.142	0.51287	138	59	-1.787	0.31182	96	22	-0.587	0.4466	101	34	-0.67	0.38944	174	34	0.429	0.57221	96	32	-0.394	0.45637	78	23	0.02	0.49951
LRPAP1	90	52	-19.426	1e-05	138	78	-8.608	0.00356	96	36	-0.528	0.43538	101	34	-2.917	0.11529	174	72	-10.148	1e-05	96	43	2.496	0.77858	78	42	-4.71	0.10084
LRRC16A	90	58	-6.422	0.04327	138	58	0.366	0.53881	96	45	-3.773	0.10831	101	55	-6.876	0.00021	174	83	-2.724	0.04403	96	51	-1.066	0.3613	78	24	-1.883	0.34629
LRRC41	90	16	-3.316	0.32039	138	57	4.128	0.86679	96	35	3.354	0.83498	101	42	-2.703	0.10797	174	64	1.366	0.77901	96	24	0.069	0.50742	78	38	1.746	0.67561
LSM5	90	48	-8.453	0.02238	138	73	13.099	0.99997	96	35	14.645	0.99996	101	32	5.356	0.97851	174	57	6.725	0.99938	96	50	8.585	0.99698	78	25	17.637	0.99964
LSM6	90	64	-17.262	1e-05	138	97	-20.376	1e-05	96	64	-10.82	2e-05	101	77	-10.415	1e-05	174	110	-11.277	1e-05	96	59	-14.867	1e-05	78	49	-25.461	1e-05
LSR	90	43	-17.198	0.00013	138	77	-1.961	0.27049	96	43	1.448	0.67995	101	52	0.638	0.63145	174	86	-0.636	0.33937	96	45	-0.524	0.43232	78	42	6.894	0.96781
LYN	90	62	-12.767	0.00027	138	74	0.439	0.55495	96	62	-6.434	0.00691	101	57	-2.614	0.08109	174	107	-1.196	0.19574	96	61	5.274	0.9715	78	49	-6.683	0.02567
LYPLA1	90	47	-7.465	0.0387	138	80	-2.231	0.23668	96	46	-6.562	0.01654	101	48	-2.62	0.10007	174	69	-1.331	0.21973	96	52	-7.679	0.00539	78	36	-10.374	0.00596
LYRM1	90	57	-10.251	0.00366	138	84	-6.315	0.02047	96	62	3.778	0.92583	101	56	-3.124	0.05001	174	81	-0.989	0.26535	96	56	-4.409	0.06263	78	17	-6.373	0.13834
MACF1	90	39	-14.028	0.00184	138	47	2.907	0.76057	96	36	-4.209	0.10847	101	60	-0.526	0.38623	174	93	-0.976	0.25598	96	48	-2.456	0.21414	78	25	1.081	0.59379
MALT1	90	49	-16.656	4e-05	138	75	-13.803	1e-05	96	60	-6.926	0.00448	101	62	-8.962	1e-05	174	70	-13.541	1e-05	96	39	-3.094	0.18363	78	31	-20.982	2e-05
MAMLD1	90	60	-0.277	0.47066	138	98	-0.465	0.43401	96	67	-12.184	1e-05	101	65	-0.044	0.48881	174	103	-3.202	0.01267	96	71	-10.81	2e-05	78	55	-8.532	0.00407
MAN2B1	90	33	-1.35	0.39173	138	36	-5.827	0.10838	96	23	-0.252	0.47795	101	20	0.277	0.53597	174	79	-0.916	0.28321	96	33	0.855	0.59118	78	19	-0.128	0.49378
MAP2K5	90	37	-2.011	0.33718	138	57	-2.622	0.24083	96	37	-5.866	0.04298	101	62	-2.27	0.10167	174	70	-0.236	0.44361	96	30	-2.571	0.25289	78	42	1.283	0.63632
MAP3K4	90	52	-9.938	0.00682	138	88	-22.456	1e-05	96	67	-8.19	0.0007	101	67	-3.739	0.01586	174	89	-9.396	1e-05	96	63	-11.602	3e-05	78	38	-14.225	0.00024
MAP4K4	90	56	-8.086	0.01684	138	76	-7.885	0.00775	96	63	-8.417	0.00058	101	64	-4.776	0.00374	174	89	-5.746	0.00018	96	53	-10.794	0.00022	78	32	5.394	0.89855
MAP7	90	62	5.744	0.94309	138	69	3.044	0.81622	96	60	-4.841	0.03245	101	47	-2.344	0.12677	174	107	-2.472	0.03843	96	59	1.954	0.75703	78	43	1.315	0.6402
MAPK13	90	61	-9.659	0.00448	138	84	-2.119	0.24627	96	54	-8.336	0.00169	101	48	-0.322	0.43387	174	94	-3.145	0.01891	96	57	-5.684	0.02373	78	35	-3.585	0.18644
MAPK1IP1L	90	47	-14.362	0.00059	138	74	-0.81	0.40225	96	52	-0.414	0.44056	101	54	-10.45	1e-05	174	98	-4.044	0.00307	96	38	-4.185	0.11623	78	25	-0.568	0.45264
MAPK9	90	39	1.095	0.59425	138	78	4.223	0.90727	96	53	3.933	0.9181	101	53	-3.798	0.0268	174	92	1.169	0.78127	96	58	-3.645	0.09654	78	51	-1.571	0.31811
MAPKAPK2	90	44	-9.75	0.01425	138	57	-1.158	0.37897	96	46	5.001	0.95019	101	64	-3.415	0.02733	174	90	-4.332	0.00327	96	51	2.863	0.83139	78	38	7.153	0.96601
MAPKAPK3	90	49	0.745	0.57406	138	85	-0.257	0.46682	96	68	-14.155	1e-05	101	68	-2.501	0.07204	174	87	-3.948	0.00643	96	54	-0.748	0.39842	78	36	-17.111	4e-05
MAPKAPK5	90	52	-11.597	0.00237	138	106	-12.256	1e-05	96	29	-5.657	0.07261	101	84	-5.662	0.00014	174	100	-3.927	0.00404	96	38	-6.131	0.04083	78	39	-3.848	0.15606
MAST2	90	70	-16.863	1e-05	138	82	-6.718	0.0161	96	76	-9.854	1e-05	101	73	-2.187	0.0945	174	107	-9.241	1e-05	96	56	-1.162	0.34422	78	46	-9.877	0.00268
MAT2A	90	55	-12.553	0.00068	138	64	-0.106	0.49085	96	61	-4.298	0.05045	101	59	-4.192	0.01252	174	91	-0.733	0.31441	96	51	-7.195	0.00967	78	39	-1.618	0.33504
MBNL1	90	54	-21.948	1e-05	138	71	-9.565	0.00242	96	59	-6.871	0.00518	101	68	-10.231	1e-05	174	94	-6.096	5e-05	96	54	-4.169	0.07629	78	38	-3.067	0.21149
MBNL2	90	40	1.429	0.62442	138	58	1.979	0.7022	96	32	-5.705	0.05983	101	67	-5.99	0.00033	174	63	2.163	0.88264	96	30	1.241	0.62683	78	25	-2.515	0.2957
MBOAT7	90	42	-11.112	0.00743	138	49	-0.139	0.48745	96	38	4.535	0.9119	101	33	-0.759	0.37522	174	77	-3.74	0.01333	96	21	6.783	0.92138	78	29	5.004	0.86994
MBTPS1	90	40	-1.359	0.38098	138	63	1.905	0.70557	96	24	-2.816	0.24641	101	45	-4.385	0.02098	174	76	-0.365	0.41119	96	28	-4.288	0.14604	78	38	-1.09	0.38617
MCM3	90	60	-21.225	1e-05	138	88	-28.254	1e-05	96	76	-14.484	1e-05	101	71	-10.681	1e-05	174	131	-7.589	1e-05	96	80	-17.432	1e-05	78	45	-21.602	1e-05
MCOLN1	90	55	-10.798	0.00286	138	95	3.131	0.86216	96	58	0.414	0.56053	101	78	-2.09	0.09496	174	100	-3.56	0.00769	96	58	-5.653	0.02294	78	21	1.669	0.62998
ME2	90	24	0.426	0.52589	138	94	7.1	0.99191	96	71	-12.147	1e-05	101	47	-2.987	0.0744	174	117	-4.484	0.00053	96	60	-6.378	0.01133	78	47	-17.007	1e-05
MEF2C	90	57	-2.256	0.27395	138	90	6.231	0.98221	96	48	-1.223	0.33848	101	77	-1.087	0.24901	174	98	-0.319	0.41123	96	55	-0.707	0.40185	78	24	2.158	0.67417
MELK	90	64	-21.343	1e-05	138	91	-19.226	1e-05	96	65	-8.987	0.00016	101	84	-10.515	1e-05	174	108	-12.47	1e-05	96	69	-19.579	1e-05	78	57	-17.484	1e-05
MEST	90	29	4.975	0.82633	138	47	5.58	0.91104	96	38	4.289	0.90035	101	30	0.499	0.57949	174	73	0.316	0.57694	96	37	0.735	0.58234	78	42	0.98	0.60426
METRN	90	32	-9.346	0.03637	138	56	-2.068	0.29032	96	49	-3.058	0.14833	101	53	-2.781	0.0767	174	58	-4.586	0.01043	96	49	-4.08	0.09203	78	17	3.175	0.71342
MFSD10	90	41	0.642	0.55403	138	94	-2.89	0.16178	96	49	-6.07	0.02031	101	46	-1.226	0.27697	174	79	-2.38	0.07217	96	48	2.471	0.78834	78	38	1.881	0.68795
MICALL1	90	48	-6.31	0.06524	138	85	-8.531	0.00253	96	41	-0.661	0.41712	101	75	-4.555	0.00268	174	95	-7.898	1e-05	96	63	-6.986	0.00533	78	36	-16.859	5e-05
MIF	90	46	-14.528	0.00045	138	76	-8.16	0.00606	96	53	-11.834	2e-05	101	82	-7.705	1e-05	174	65	-6.105	0.00066	96	43	-1.152	0.3617	78	41	-16.014	2e-05
MKNK1	90	43	1.482	0.63434	138	64	5.581	0.94183	96	18	-4.757	0.16334	101	27	-2.006	0.22425	174	68	0.156	0.53527	96	25	-3.951	0.17817	78	44	3.568	0.83978
MLEC	90	53	-26.734	1e-05	138	58	-16.422	3e-05	96	39	-16.084	2e-05	101	56	-8.675	3e-05	174	72	-7.746	5e-05	96	60	-6.241	0.01288	78	31	-21.056	2e-05
MLLT11	90	51	-21.992	1e-05	138	85	-12.958	1e-05	96	56	-12.067	1e-05	101	50	1.163	0.72237	174	85	-1.795	0.12549	96	65	4.56	0.95807	78	35	-14.983	0.00028
MMP1	90	46	-5.176	0.11052	138	75	2.269	0.75755	96	62	0.794	0.62097	101	60	2.996	0.95117	174	101	0.393	0.61136	96	50	-9.128	0.00176	78	55	-9.026	0.00265
MMP2	90	36	2.539	0.70614	138	60	-1.815	0.30828	96	37	0.9	0.60865	101	36	-1.857	0.21502	174	90	-0.99	0.25424	96	36	0.412	0.54548	78	49	7.035	0.98017
MNAT1	90	67	-14.358	1e-05	138	102	-11.237	4e-05	96	70	-12.136	1e-05	101	65	-7.652	3e-05	174	115	-8.249	1e-05	96	56	1.292	0.6762	78	46	-8.297	0.0095
MOK	90	44	-8.827	0.02273	138	94	-5.64	0.02689	96	56	-4.656	0.04575	101	53	-1.627	0.19947	174	91	-1.465	0.16612	96	38	-5.165	0.07046	78	43	-7.35	0.02283
MPZL1	90	53	-15.262	0.0001	138	56	-2.582	0.24505	96	51	-4.334	0.06568	101	49	-6.381	0.00148	174	88	-6.144	0.00013	96	44	-6.631	0.02199	78	34	-25.986	1e-05
MRPL12	90	62	-16.466	1e-05	138	85	-21.121	1e-05	96	65	-14.63	1e-05	101	74	-6.895	4e-05	174	101	-10.826	1e-05	96	63	-4.582	0.04454	78	33	-23.398	2e-05
MRPL19	90	59	-10.091	0.00362	138	98	-6.681	0.00953	96	73	-10.082	5e-05	101	59	-10.716	1e-05	174	106	-7.764	1e-05	96	65	-2.096	0.21445	78	41	-9.914	0.00464
MRPS16	90	32	-3.384	0.25317	138	58	-2.306	0.26534	96	48	-5.486	0.03352	101	45	-0.922	0.32865	174	59	-4.73	0.00888	96	41	-2.968	0.18474	78	19	-3.056	0.28656
MRPS2	90	43	-4.444	0.15495	138	77	-6.533	0.0221	96	65	-8.197	0.00057	101	59	-1.714	0.17256	174	80	-2.372	0.07118	96	47	4.049	0.90201	78	25	0.347	0.53168
MSH6	90	64	-12.624	0.00025	138	98	-18.386	1e-05	96	70	-10.215	5e-05	101	63	-10.521	1e-05	174	93	-10.68	1e-05	96	57	-13.399	1e-05	78	44	-17.772	1e-05
MSRA	90	32	6.462	0.89714	138	80	-4.505	0.07535	96	58	-6.525	0.00788	101	65	-6.54	0.00011	174	110	-8.82	1e-05	96	52	2.974	0.84143	78	46	-10.347	0.00179
MTA1	90	38	-5.559	0.11637	138	75	-0.824	0.40281	96	48	-4.832	0.05249	101	39	0.586	0.60477	174	58	0.3	0.56435	96	46	-3.424	0.13918	78	20	0.139	0.50789
MTERFD1	90	47	-13.081	0.00142	138	87	-17.889	1e-05	96	40	-0.68	0.41714	101	39	-2.772	0.11044	174	79	-4.456	0.00363	96	36	-0.196	0.47702	78	30	-22.758	1e-05
