	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
SEC14L5	90	50	1.847	0.67558	138	51	1.596	0.6575	96	27	1.659	0.66602	101	37	1.415	0.73241	174	110	-0.483	0.36149	96	40	-0.969	0.38338	78	34	2.006	0.68856
SEC16A	90	49	-15.743	0.00013	138	93	-13.551	2e-05	96	41	-13.192	9e-05	101	56	-3.331	0.03934	174	91	-9.886	1e-05	96	50	-2.214	0.23141	78	36	-20.306	1e-05
SEC22A	90	59	-7.964	0.01782	138	79	-17.666	1e-05	96	48	-11.301	0.00014	101	64	-10.395	1e-05	174	95	-4.674	0.0013	96	53	-4.624	0.05913	78	36	-9.793	0.00867
SEC22B	90	49	-15.796	0.00012	138	76	-9.785	0.00155	96	48	-12.526	6e-05	101	60	-10.073	1e-05	174	95	-6.731	1e-05	96	55	-3.141	0.13856	78	33	-12.738	0.00195
SEC23A	90	62	-14.715	5e-05	138	75	-11.497	0.00019	96	45	-12.593	9e-05	101	67	-9.745	1e-05	174	98	-9.528	1e-05	96	57	-5.881	0.02009	78	37	-20.433	1e-05
SEC23B	90	46	-19.206	1e-05	138	69	-10.945	0.00065	96	37	-15.807	2e-05	101	57	-6.715	0.00027	174	115	-7.894	1e-05	96	56	-7.676	0.00407	78	39	-15.038	0.00015
SEC23IP	90	52	-13.821	0.00041	138	71	-17.771	1e-05	96	53	-9.627	0.00057	101	79	-7.618	1e-05	174	82	-9.599	1e-05	96	62	-3.954	0.07452	78	31	-3.989	0.17472
SEC24A	90	46	-1.43	0.36829	138	59	-9.231	0.00699	96	39	-4.176	0.10016	101	56	-0.223	0.45266	174	79	-6.626	9e-05	96	55	1.04	0.64088	78	29	-4.243	0.16645
SEC24B	90	38	0.816	0.56858	138	76	1.686	0.69661	96	28	0.01	0.50551	101	30	-5.958	0.01515	174	75	-2.024	0.1111	96	35	-4.349	0.11605	78	29	-0.332	0.46785
SEC24C	90	39	-2.837	0.26767	138	60	-4.433	0.11213	96	39	-1.624	0.30822	101	59	-0.162	0.46442	174	82	-6.144	0.00015	96	50	1.186	0.65477	78	28	0.629	0.55716
SEC24D	90	55	-17.764	1e-05	138	78	-8.898	0.00297	96	34	-11.245	0.00137	101	60	-4.006	0.01508	174	104	-2.516	0.03832	96	56	1.588	0.71063	78	53	-1.936	0.27517
SEC31A	90	39	0.678	0.56077	138	53	1.291	0.63293	96	33	2.268	0.7415	101	38	-1.402	0.26562	174	83	-1.825	0.12499	96	42	-2.358	0.23584	78	22	5.748	0.86963
SEC31B	90	33	-2.155	0.33194	138	50	-0.101	0.48954	96	37	0.833	0.59851	101	43	-0.073	0.48552	174	56	-0.555	0.38428	96	37	-0.267	0.47041	78	30	1.74	0.65694
SEC61A1	90	53	-17.127	1e-05	138	81	-12.029	8e-05	96	61	-12.382	1e-05	101	70	-6.398	0.00014	174	96	-8.735	1e-05	96	51	-8.349	0.00347	78	37	2.481	0.73578
SEC61A2	90	48	-7.325	0.03899	138	72	-5.713	0.043	96	59	-7.166	0.00387	101	59	-3.842	0.01959	174	88	-2.909	0.03127	96	51	-8.165	0.00402	78	36	-3.867	0.16261
SEC61B	90	49	-11.639	0.00281	138	79	-7.107	0.01244	96	41	-13.767	4e-05	101	47	-4.12	0.02566	174	95	-1.867	0.1026	96	47	-4.462	0.07747	78	46	-10.644	0.00154
SEC61G	90	52	-9.04	0.0122	138	75	-8.82	0.00348	96	46	-12.444	4e-05	101	42	-3.781	0.04474	174	93	-2.704	0.03615	96	44	0.683	0.58424	78	41	-4.347	0.12213
SEC62	90	52	-6.05	0.06436	138	79	-11.223	0.00026	96	35	1.842	0.70514	101	31	-1.572	0.26269	174	89	-0.096	0.47551	96	43	6.536	0.97483	78	37	-0.728	0.42204
SEC63	90	55	4.749	0.88924	138	86	-11.661	9e-05	96	38	0.331	0.54242	101	47	3.661	0.96061	174	88	0.965	0.73835	96	47	-2.407	0.21988	78	55	-11.948	0.00017
SECISBP2	90	36	-7.678	0.05727	138	60	5.535	0.93567	96	21	-4.249	0.17012	101	35	-3.818	0.05926	174	64	-2.056	0.12611	96	45	0.12	0.51552	78	35	-3.912	0.16727
SECISBP2L	90	39	1.191	0.60498	138	65	-2.805	0.21172	96	26	-1.518	0.34887	101	38	-3.245	0.08076	174	83	0.178	0.54461	96	31	-2.463	0.26024	78	19	2.406	0.67552
SECTM1	90	32	3.272	0.74368	138	58	-1.054	0.38855	96	52	2.396	0.80102	101	59	-4.139	0.01357	174	75	1.118	0.75103	96	31	1.242	0.62867	78	20	-0.793	0.44198
SEH1L	90	50	-9.554	0.01074	138	99	-20.216	1e-05	96	73	-16.501	1e-05	101	76	-8.707	1e-05	174	93	-8.091	1e-05	96	65	-10.467	8e-05	78	32	-28.31	1e-05
SEL1L	90	28	1.634	0.62292	138	65	-0.857	0.40389	96	33	1.139	0.62688	101	39	-2.561	0.12879	174	78	-2.286	0.08164	96	32	-2.72	0.23513	78	34	-1.636	0.34262
SEL1L3	90	49	-2.729	0.25354	138	70	-1.966	0.28099	96	45	-1.983	0.25747	101	45	-8.52	0.00011	174	87	-3.888	0.00671	96	45	4.515	0.92051	78	38	1.361	0.64069
SELE	90	49	1.001	0.59929	138	65	1.663	0.68426	96	62	0.189	0.52779	101	67	-6.202	0.00028	174	86	-0.791	0.30298	96	33	4.146	0.86544	78	36	-0.503	0.44816
SELENBP1	90	38	4.389	0.82771	138	68	-0.647	0.4244	96	26	-0.974	0.40161	101	32	1.297	0.70472	174	73	1.112	0.74652	96	35	1.794	0.69393	78	42	5.935	0.94484
SELL	90	45	0.026	0.50361	138	82	-3.627	0.11879	96	55	-2.043	0.22945	101	61	-3.746	0.02055	174	90	-1.72	0.12832	96	60	-6.144	0.01376	78	32	-1.04	0.40192
SELP	90	34	-1.397	0.3903	138	58	-0.132	0.48516	96	59	5.513	0.98029	101	73	0.157	0.53837	174	77	2.544	0.93783	96	41	3.209	0.83168	78	28	-4.427	0.16138
SELPLG	90	43	1.361	0.62512	138	59	-1.036	0.39074	96	38	6.947	0.97972	101	25	0.371	0.55568	174	90	-2.797	0.03405	96	38	2.843	0.79539	78	38	-2.189	0.28369
SELRC1	90	50	-13.513	0.00068	138	78	-9.195	0.00226	96	78	-14.883	1e-05	101	73	-3.82	0.01083	174	95	-2.818	0.02946	96	43	-5.942	0.03554	78	57	-7.651	0.00778
SELT	90	57	-8.395	0.01463	138	78	-8.722	0.00335	96	58	-14.395	1e-05	101	61	-10.158	1e-05	174	100	-11.67	1e-05	96	66	-12.355	1e-05	78	43	-8.145	0.01392
SEMA3A	90	45	-11.24	0.00492	138	72	-8.98	0.00374	96	54	-6.567	0.01032	101	38	-0.578	0.39851	174	106	-1.415	0.15596	96	47	-8.904	0.00286	78	39	1.387	0.64208
SEMA3B	90	36	-2.584	0.2939	138	47	-0.204	0.48004	96	41	5.388	0.9527	101	23	0.43	0.56107	174	73	-0.593	0.36241	96	28	-0.073	0.49118	78	26	4.047	0.80756
SEMA3C	90	45	2.569	0.72853	138	57	-6.883	0.03432	96	46	-7.995	0.00521	101	53	-3.828	0.02578	174	92	0.416	0.61006	96	38	-0.334	0.46041	78	36	0.499	0.55047
SEMA3D	90	48	-0.04	0.49648	138	44	-0.268	0.4742	96	49	1.287	0.6729	101	31	-0.691	0.38827	174	71	-1.87	0.13554	96	35	2.027	0.71586	78	46	4.787	0.91124
SEMA3E	90	27	-2.93	0.29683	138	69	-1.708	0.3078	96	43	2.183	0.76191	101	33	1.792	0.77133	174	67	0.476	0.6095	96	40	2.112	0.73456	78	45	-1.119	0.37478
SEMA3F	90	40	-4.133	0.18073	138	60	0.594	0.56496	96	40	3.045	0.83035	101	52	1.847	0.82908	174	70	-0.072	0.4819	96	29	-6.933	0.0451	78	37	3.544	0.81656
SEMA3G	90	54	-3.861	0.16005	138	54	-0.395	0.4579	96	50	-0.222	0.47111	101	49	1.757	0.81221	174	84	-0.25	0.43537	96	24	0.234	0.52274	78	36	-5.762	0.07349
SEMA4A	90	40	4.863	0.86024	138	61	6.281	0.95807	96	32	2.691	0.77428	101	52	-1.68	0.19326	174	74	1.471	0.8112	96	44	3.065	0.82897	78	30	-2.552	0.27731
SEMA4C	90	51	-6.129	0.06462	138	49	0.217	0.52233	96	29	-0.299	0.46828	101	36	-2.457	0.15021	174	62	0.467	0.60498	96	46	-0.154	0.48163	78	32	-0.932	0.41162
SEMA4D	90	54	-16.887	1e-05	138	79	-7.99	0.00604	96	56	-4.047	0.06854	101	53	-2.185	0.12799	174	82	-4.288	0.00489	96	59	-10.261	0.00021	78	35	-13.235	0.00113
SEMA4F	90	45	2.679	0.73703	138	73	0.181	0.52008	96	73	-5.304	0.01435	101	70	-4.55	0.00396	174	115	-0.153	0.45622	96	50	-4.952	0.05185	78	34	1.818	0.67263
SEMA4G	90	48	-0.136	0.48799	138	57	-1.547	0.33586	96	25	-1.975	0.31035	101	63	-4.89	0.00375	174	88	-2.415	0.05904	96	40	1.692	0.69256	78	25	3.454	0.76608
SEMA5A	90	41	-0.684	0.43835	138	47	2.404	0.72212	96	32	-3.0	0.20349	101	51	-2.632	0.09304	174	98	3.402	0.98903	96	33	-3.557	0.17081	78	44	-2.416	0.24795
SEMA6A	90	48	9.715	0.98953	138	47	-1.13	0.38925	96	26	2.29	0.71791	101	24	-0.942	0.36449	174	95	0.903	0.72818	96	35	-0.182	0.48134	78	40	0.488	0.55258
SEMA6B	90	50	-5.251	0.09878	138	72	2.417	0.76667	96	62	-0.935	0.35994	101	40	-1.744	0.21481	174	79	-0.373	0.40689	96	38	-2.551	0.23057	78	44	-3.294	0.17821
SEMA6C	90	42	1.075	0.59994	138	38	-2.595	0.28294	96	32	1.085	0.6188	101	50	2.919	0.92901	174	62	2.651	0.92525	96	32	-2.817	0.22755	78	19	-3.233	0.27501
SEMA6D	90	49	0.915	0.59121	138	67	0.882	0.59968	96	48	-0.754	0.39976	101	63	-0.964	0.2944	174	100	-1.897	0.09322	96	46	2.324	0.77076	78	36	5.508	0.91639
SEMA7A	90	52	1.01	0.59969	138	74	4.324	0.90743	96	37	0.892	0.60579	101	49	-4.008	0.0243	174	110	1.108	0.79035	96	44	0.972	0.61906	78	39	1.622	0.66489
SEMG1	90	36	0.586	0.5487	138	50	1.636	0.65778	96	54	-0.807	0.38296	101	35	1.455	0.73193	174	70	-0.476	0.38928	96	35	0.887	0.60076	78	40	-0.14	0.4847
SEMG2	90	43	-3.126	0.23843	138	55	1.521	0.65442	96	52	0.472	0.56569	101	40	2.612	0.87657	174	71	-0.973	0.28133	96	43	1.016	0.62233	78	40	-1.946	0.30192
SENP2	90	53	-13.442	0.00032	138	75	-16.447	1e-05	96	58	-9.597	0.00027	101	76	-8.103	1e-05	174	106	-10.041	1e-05	96	55	3.303	0.87431	78	27	0.509	0.54558
SENP3	90	41	-13.793	0.00181	138	87	-12.501	2e-05	96	57	-1.193	0.32603	101	65	-1.962	0.13146	174	114	-5.645	2e-05	96	59	-9.77	0.0003	78	58	-9.95	0.00062
SENP5	90	47	-23.357	1e-05	138	70	-13.165	0.00012	96	41	-6.943	0.01688	101	67	-5.193	0.00152	174	87	-10.617	1e-05	96	57	-4.303	0.06538	78	56	-10.117	0.0008
SENP6	90	42	0.278	0.52676	138	81	-9.335	0.00165	96	39	0.13	0.51589	101	49	-2.405	0.11528	174	84	1.693	0.85953	96	49	-0.161	0.47842	78	31	-3.406	0.21154
SENP7	90	51	-3.868	0.16778	138	76	-7.862	0.00803	96	45	4.388	0.92604	101	32	-2.923	0.12032	174	79	0.124	0.52827	96	58	0.248	0.53422	78	30	2.194	0.69471
SEP15	90	58	-15.995	3e-05	138	94	-3.19	0.13517	96	49	-7.942	0.00396	101	41	-4.427	0.02514	174	101	-3.986	0.00345	96	33	0.025	0.5018	78	44	2.9	0.78973
SEPHS1	90	58	-23.806	1e-05	138	75	-15.468	1e-05	96	63	-11.147	1e-05	101	72	-9.881	1e-05	174	107	-9.551	1e-05	96	64	-12.467	1e-05	78	50	-19.392	1e-05
SEPHS2	90	44	-1.455	0.36921	138	60	-2.053	0.28631	96	39	-2.579	0.21336	101	44	-8.025	0.00034	174	60	-5.921	0.00147	96	33	-4.976	0.09384	78	30	-2.214	0.30422
SEPP1	90	51	-2.962	0.22966	138	46	1.459	0.63708	96	27	0.848	0.58787	101	29	0.756	0.6185	174	73	0.315	0.57499	96	39	0.11	0.51311	78	31	-0.829	0.42163
SEPT10	90	43	0.631	0.55863	138	61	2.552	0.762	96	42	-1.99	0.26049	101	40	-1.121	0.30441	174	71	-0.924	0.29097	96	52	-0.658	0.41128	78	41	1.649	0.67258
SEPT11	90	59	-7.263	0.02706	138	84	-4.356	0.07734	96	63	-9.802	0.0001	101	75	-8.656	1e-05	174	123	-6.888	1e-05	96	48	-5.615	0.03668	78	46	-6.807	0.02775
SEPT2	90	46	2.486	0.7248	138	57	3.421	0.82262	96	39	-1.46	0.32666	101	44	-0.772	0.3554	174	74	0.806	0.68678	96	33	-0.171	0.48034	78	46	0.687	0.57546
SEPT4	90	44	7.686	0.96093	138	52	1.447	0.6455	96	38	3.01	0.81914	101	23	-0.52	0.42626	174	82	-0.304	0.4239	96	40	-1.39	0.3362	78	42	1.363	0.64357
SEPT6	90	44	-12.891	0.00209	138	67	-5.662	0.0507	96	39	-2.701	0.20273	101	52	-5.13	0.00567	174	66	0.355	0.58027	96	48	0.034	0.50629	78	32	2.322	0.70955
SEPT7	90	64	-15.533	1e-05	138	83	-7.621	0.0067	96	62	0.155	0.52277	101	57	-3.574	0.0299	174	106	-6.208	3e-05	96	68	-13.835	1e-05	78	54	-14.87	2e-05
SEPT8	90	52	-8.242	0.01991	138	79	2.992	0.82894	96	61	-4.761	0.03493	101	69	-7.864	1e-05	174	107	-9.848	1e-05	96	57	-7.62	0.00392	78	38	-20.381	1e-05
SEPT9	90	53	-17.142	1e-05	138	64	-1.645	0.32199	96	50	-5.486	0.03073	101	56	-2.155	0.12572	174	102	-5.938	6e-05	96	63	-7.846	0.00203	78	53	-2.784	0.19656
SEPW1	90	53	-6.171	0.06081	138	58	-2.502	0.24889	96	63	-5.547	0.01667	101	60	-4.985	0.00359	174	104	-6.085	1e-05	96	43	-0.911	0.39063	78	38	-5.789	0.06787
SEPX1	90	48	-0.739	0.42921	138	56	0.594	0.56486	96	38	-8.37	0.00741	101	39	-5.482	0.01024	174	99	-4.936	0.00038	96	46	1.739	0.7103	78	39	-10.378	0.00422
SERBP1	90	51	-21.942	1e-05	138	99	-14.2	1e-05	96	64	-10.56	3e-05	101	79	-3.596	0.01247	174	101	-6.918	1e-05	96	66	-7.538	0.0023	78	39	-20.47	1e-05
SERF2	90	39	2.13	0.68273	138	40	5.614	0.8936	96	26	-2.909	0.23136	101	40	-0.59	0.3939	174	63	-0.474	0.39602	96	26	-0.316	0.46933	78	16	-0.435	0.4709
SERGEF	90	33	-2.491	0.30806	138	44	0.08	0.50707	96	40	-2.238	0.24473	101	42	-0.673	0.37672	174	65	1.393	0.78418	96	28	2.941	0.76695	78	26	0.39	0.53116
SERHL2	90	47	-8.185	0.02628	138	69	-1.387	0.34171	96	54	0.717	0.60299	101	60	-1.628	0.18497	174	98	-8.35	1e-05	96	55	-2.67	0.17726	78	43	-10.368	0.00258
SERINC1	90	39	-4.319	0.17342	138	75	-1.806	0.291	96	23	-1.842	0.32607	101	51	-4.162	0.02033	174	59	0.16	0.53217	96	21	4.803	0.84602	78	28	-8.985	0.02612
SERINC3	90	29	-0.421	0.46667	138	56	1.27	0.63397	96	29	0.318	0.53473	101	30	-2.282	0.1855	174	71	-0.945	0.2864	96	37	-0.204	0.47733	78	28	-4.253	0.17046
SERINC5	90	33	-6.459	0.09992	138	84	4.172	0.91146	96	29	0.627	0.56706	101	16	-3.381	0.16837	174	85	1.191	0.77756	96	43	2.45	0.77325	78	43	-5.017	0.08511
SERP1	90	50	-11.205	0.00378	138	70	-13.297	0.00012	96	51	-5.442	0.02983	101	58	-7.476	6e-05	174	98	-3.341	0.01179	96	50	2.946	0.8363	78	44	-8.457	0.01036
SERPINA1	90	49	4.269	0.85386	138	66	9.012	0.99464	96	51	1.971	0.75498	101	50	-3.043	0.06579	174	113	-2.244	0.04924	96	45	0.141	0.51823	78	44	-2.757	0.2189
SERPINA10	90	53	-17.754	1e-05	138	63	-4.698	0.09395	96	42	-1.828	0.27824	101	50	3.111	0.94088	174	91	-2.33	0.06177	96	39	-1.454	0.33495	78	28	-1.806	0.34165
SERPINA3	90	48	-10.829	0.00542	138	69	-8.212	0.00852	96	49	1.963	0.75226	101	65	-3.903	0.014	174	94	0.012	0.50272	96	53	-2.793	0.17117	78	38	-1.097	0.38569
SERPINA4	90	53	1.546	0.65402	138	59	-8.933	0.00862	96	44	-2.318	0.22613	101	68	-4.472	0.00488	174	109	-4.356	0.00109	96	71	-11.052	2e-05	78	41	-10.941	0.00203
SERPINA5	90	40	1.831	0.65949	138	82	-0.522	0.43227	96	44	-0.566	0.42801	101	48	-1.046	0.30185	174	67	-1.759	0.15579	96	41	-1.445	0.32997	78	46	2.143	0.72797
SERPINA6	90	48	2.954	0.76446	138	54	-9.505	0.00779	96	64	1.76	0.75494	101	53	-11.721	1e-05	174	109	-4.974	0.0002	96	46	-5.116	0.05376	78	45	-7.687	0.01643
SERPINA7	90	51	1.021	0.59919	138	66	-7.551	0.01598	96	40	1.138	0.64257	101	50	-5.549	0.00354	174	105	-3.99	0.00258	96	67	-4.814	0.0334	78	52	-5.216	0.05577
SERPINB1	90	30	2.901	0.71223	138	58	0.169	0.51725	96	47	1.271	0.66643	101	53	-2.551	0.09346	174	72	-2.332	0.08748	96	42	-0.781	0.40371	78	26	1.114	0.59298
SERPINB10	90	53	-6.052	0.06459	138	63	2.374	0.75045	96	44	1.389	0.67416	101	37	2.715	0.87858	174	103	-1.664	0.1193	96	47	0.171	0.5259	78	57	4.483	0.92093
SERPINB13	90	44	-10.045	0.01191	138	85	-0.749	0.40368	96	36	1.905	0.71643	101	53	0.616	0.62578	174	105	-0.615	0.32817	96	73	-5.81	0.01079	78	49	-2.877	0.19812
SERPINB2	90	45	-9.398	0.01471	138	79	1.322	0.66247	96	50	2.903	0.8426	101	62	0.911	0.69528	174	81	-1.264	0.21678	96	56	-3.801	0.09258	78	47	-0.961	0.39076
SERPINB3	90	44	-12.502	0.0026	138	75	-4.293	0.09484	96	37	3.175	0.82945	101	62	-2.507	0.08084	174	95	-3.444	0.0114	96	54	-7.296	0.00695	78	36	1.426	0.63991
SERPINB4	90	44	-10.118	0.01143	138	71	0.396	0.54876	96	31	6.164	0.94857	101	56	-0.031	0.49367	174	100	-0.994	0.24415	96	56	-5.592	0.02589	78	33	1.149	0.61005
SERPINB5	90	39	1.121	0.59897	138	60	0.766	0.58364	96	62	-13.348	1e-05	101	79	-0.628	0.34621	174	88	-4.888	0.00101	96	49	-8.017	0.00534	78	28	-3.763	0.19935
SERPINB6	90	37	-0.302	0.47349	138	52	-2.673	0.24695	96	50	-0.788	0.39306	101	48	0.266	0.55384	174	66	-3.102	0.04357	96	47	2.435	0.78563	78	22	4.853	0.82993
SERPINB7	90	51	-2.35	0.27703	138	79	2.979	0.82806	96	56	-0.76	0.38723	101	49	-1.6	0.21261	174	83	-1.976	0.10666	96	50	-3.617	0.11718	78	35	-3.775	0.17584
SERPINB8	90	45	-15.665	0.00016	138	74	-2.609	0.21144	96	58	-3.968	0.07031	101	66	-4.371	0.00668	174	99	-6.242	2e-05	96	48	-12.936	6e-05	78	44	2.312	0.73855
SERPINB9	90	32	0.234	0.52135	138	62	5.572	0.94056	96	33	0.037	0.50358	101	41	-0.588	0.39068	174	101	1.313	0.82084	96	55	-0.115	0.4837	78	27	-2.641	0.28202
SERPINC1	90	47	-5.97	0.07745	138	73	-7.355	0.01329	96	45	-2.461	0.20897	101	55	-3.203	0.0478	174	102	0.731	0.6973	96	50	3.585	0.88181	78	48	-7.144	0.01947
SERPIND1	90	52	-6.988	0.03942	138	78	-10.542	0.00065	96	50	-2.311	0.21184	101	62	-2.19	0.11037	174	103	-0.205	0.44105	96	52	-4.479	0.06701	78	44	-10.817	0.00158
SERPINE1	90	54	-7.43	0.02867	138	62	-1.883	0.29805	96	58	-2.224	0.20358	101	57	-6.587	0.00035	174	102	-2.032	0.0765	96	28	1.361	0.63308	78	33	0.94	0.59099
SERPINE2	90	44	-2.536	0.27987	138	73	-6.505	0.02459	96	64	-15.57	1e-05	101	73	-3.925	0.009	174	106	-3.15	0.01322	96	67	-11.307	1e-05	78	35	-5.335	0.09567
SERPINF1	90	40	-0.228	0.48177	138	63	1.284	0.64261	96	29	2.783	0.77086	101	32	0.532	0.58754	174	71	0.167	0.53914	96	38	1.254	0.6437	78	39	2.671	0.75871
SERPINF2	90	49	-0.723	0.43251	138	58	-0.57	0.43929	96	38	9.635	0.99675	101	35	0.438	0.57425	174	96	-2.344	0.05687	96	54	-0.696	0.40647	78	38	-8.247	0.01778
SERPING1	90	55	0.546	0.55516	138	72	-13.42	6e-05	96	35	2.328	0.7521	101	57	0.912	0.68916	174	77	0.354	0.58673	96	47	-3.663	0.11968	78	34	-0.366	0.46363
SERPINH1	90	69	-13.025	7e-05	138	73	-8.363	0.00596	96	56	-6.146	0.01312	101	52	-3.513	0.03852	174	107	-4.099	0.00196	96	29	4.452	0.86704	78	40	-2.689	0.23597
SERPINI1	90	45	7.638	0.96093	138	58	5.314	0.92392	96	35	-1.256	0.35531	101	41	-0.576	0.39227	174	97	0.907	0.73107	96	58	0.157	0.52119	78	37	5.741	0.92583
SERPINI2	90	48	1.825	0.67231	138	66	-2.88	0.20434	96	41	1.616	0.6939	101	18	0.007	0.50099	174	82	-1.121	0.2396	96	49	-5.301	0.0428	78	45	2.264	0.73707
SERTAD2	90	49	-6.213	0.06665	138	83	2.136	0.75335	96	57	0.286	0.53924	101	77	-5.984	0.00013	174	83	2.321	0.92843	96	68	-7.199	0.00276	78	31	-6.334	0.0712
SERTAD3	90	43	-7.335	0.04821	138	43	-1.256	0.3849	96	35	0.266	0.5298	101	42	3.421	0.94103	174	76	-0.293	0.42899	96	37	-2.976	0.20015	78	45	4.868	0.91399
SESN1	90	46	-7.402	0.04175	138	94	-7.858	0.00328	96	49	-5.273	0.03646	101	40	-6.664	0.0027	174	70	-2.314	0.08929	96	69	-4.688	0.03569	78	43	-4.791	0.09438
SET	90	49	-13.117	0.0009	138	86	-10.805	0.00027	96	65	-8.205	0.00051	101	64	-4.149	0.00992	174	92	-4.917	0.00099	96	61	-9.282	0.00039	78	38	-6.472	0.04825
SETBP1	90	48	-3.691	0.18482	138	66	-9.049	0.00516	96	56	0.555	0.57949	101	65	0.166	0.53907	174	89	-1.048	0.24547	96	52	-3.357	0.1301	78	42	-5.662	0.06127
SETD1A	90	42	-8.891	0.02492	138	54	-1.923	0.3081	96	32	-3.046	0.20006	101	42	-3.474	0.05844	174	63	-0.644	0.35946	96	27	0.19	0.52026	78	22	-0.523	0.45801
SETD1B	90	51	3.685	0.82084	138	86	-15.509	1e-05	96	46	-1.622	0.296	101	53	-3.203	0.05013	174	99	-2.099	0.07439	96	65	-6.32	0.00949	78	32	-6.479	0.06578
SETD2	90	60	0.105	0.511	138	67	-1.814	0.29806	96	29	-0.866	0.40822	101	44	-2.182	0.15042	174	66	-0.051	0.48744	96	36	3.481	0.83391	78	40	-7.907	0.01982
SETD3	90	55	-7.439	0.02799	138	59	-1.543	0.33881	96	55	-13.28	1e-05	101	49	-0.404	0.4207	174	91	-9.079	1e-05	96	60	-7.308	0.00445	78	31	-13.519	0.00182
SETD4	90	46	-17.382	4e-05	138	94	-13.763	1e-05	96	55	-4.289	0.05974	101	70	-4.995	0.00198	174	84	-6.451	0.00012	96	57	-12.711	4e-05	78	48	-5.611	0.05271
SETD5	90	46	-4.915	0.12566	138	60	-2.301	0.26357	96	38	-0.645	0.42247	101	57	-2.533	0.088	174	69	-3.12	0.03728	96	45	2.219	0.75686	78	32	-3.992	0.1742
SETD6	90	44	-17.181	7e-05	138	86	-7.744	0.00554	96	63	-3.771	0.07214	101	49	-3.302	0.05085	174	82	-1.342	0.19881	96	52	-2.468	0.20231	78	45	-5.713	0.05348
SETD8	90	50	-29.119	1e-05	138	96	-20.836	1e-05	96	65	-11.987	1e-05	101	74	-10.025	1e-05	174	88	-13.332	1e-05	96	65	-17.654	1e-05	78	35	-23.974	1e-05
SETDB1	90	40	-0.594	0.44971	138	61	-1.094	0.37979	96	28	-1.071	0.39211	101	43	-2.048	0.16898	174	67	-1.241	0.23616	96	41	4.378	0.90313	78	40	3.802	0.84402
SETMAR	90	53	-7.636	0.02734	138	88	-8.995	0.00154	96	67	0.608	0.60112	101	76	-3.818	0.00968	174	104	-2.911	0.02082	96	62	-5.538	0.02183	78	43	-11.063	0.00147
SETX	90	46	-20.243	1e-05	138	91	-6.252	0.0177	96	51	-8.367	0.00229	101	61	-5.818	0.00093	174	96	-5.968	7e-05	96	61	-9.662	0.00027	78	49	-5.155	0.06498
SEZ6L	90	40	7.251	0.94516	138	62	2.552	0.76058	96	53	-0.821	0.38441	101	38	-1.698	0.22539	174	71	-2.719	0.05724	96	41	-0.358	0.45389	78	44	4.283	0.88363
SEZ6L2	90	27	2.382	0.66742	138	47	3.147	0.77953	96	34	-1.923	0.29096	101	27	-0.543	0.41502	174	65	0.467	0.60454	96	38	0.537	0.56298	78	37	5.409	0.91385
SF1	90	47	-16.448	6e-05	138	81	-2.048	0.25606	96	57	-6.1	0.01295	101	49	-1.978	0.16208	174	84	-2.376	0.06775	96	56	-6.538	0.01165	78	38	-7.047	0.03582
SF3A1	90	47	-12.738	0.00148	138	78	-1.928	0.27132	96	57	-12.397	1e-05	101	48	-3.749	0.0358	174	90	-8.277	1e-05	96	50	-7.59	0.00706	78	38	-7.247	0.03222
SF3A2	90	44	-5.605	0.0995	138	82	-5.748	0.03199	96	58	-4.875	0.03505	101	46	-0.198	0.45988	174	80	-1.24	0.21769	96	44	-2.077	0.2599	78	54	-3.004	0.17439
SF3A3	90	55	-13.936	0.00023	138	90	-19.634	1e-05	96	66	-10.082	4e-05	101	66	-4.651	0.0044	174	92	-11.006	1e-05	96	65	-8.222	0.00104	78	41	-15.657	2e-05
SF3B1	90	51	-1.744	0.32939	138	58	1.884	0.69359	96	35	8.249	0.98845	101	45	-0.707	0.36646	174	72	1.013	0.72978	96	32	-1.986	0.29873	78	35	-0.235	0.47605
SF3B2	90	53	0.204	0.52254	138	67	-3.051	0.18656	96	49	1.206	0.66337	101	57	-4.688	0.00726	174	96	-8.34	1e-05	96	50	4.929	0.94771	78	40	-11.0	0.00238
SF3B3	90	45	-21.229	1e-05	138	95	-10.482	0.00015	96	57	-4.796	0.03867	101	63	-1.592	0.18602	174	88	-7.689	1e-05	96	51	-8.5	0.00291	78	32	-22.101	1e-05
